#1 
double table1(24, 7)
	# Time (s)	(1)Elevation	(2)Azimuth	(3)BHI	(4)DHI	(5)BNI	(6)proj_tilt_35_az_154_alb_025 
16588800.0	-23.15501	358.02192	0.0	0.0	0.0	0.0
16592400.0	-22.13249	13.0521	0.0	0.0	0.0	0.0
16596000.0	-18.45929	27.35737	0.0	0.0	0.0	0.0
16599600.0	-12.53057	40.41785	0.0	0.0	0.0	0.0
16603200.0	-4.84902	52.15285	1.2421	4.9005	23.3832	4.59624
16606800.0	4.10789	62.80058	51.4441	47.5719	302.5096	59.63713
16610400.0	13.93921	72.77237	177.8372	85.0891	537.0757	234.91605
16614000.0	24.31203	82.59633	303.2679	121.5737	610.9364	428.0604
16617600.0	34.91997	92.97471	479.3531	128.3813	742.788	648.03782
16621200.0	45.40703	104.99125	455.9864	222.8379	593.7701	721.2353
16624800.0	55.20735	120.57558	182.644	373.4821	216.0035	556.59217
16628400.0	63.16619	143.12468	179.1913	430.0031	196.5999	598.58417
16632000.0	67.00673	175.30016	185.5595	437.3183	202.4893	606.8154
16635600.0	64.68676	209.27264	260.3788	402.0775	297.6538	642.69273
16639200.0	57.53711	234.30403	206.3438	368.7997	257.1175	539.49189
16642800.0	48.06597	251.31949	331.3794	227.0156	492.3087	495.07234
16646400.0	37.68394	264.03145	283.1507	152.701	521.9771	328.96706
16650000.0	27.06107	274.70758	213.5861	92.2861	573.8196	155.0263
16653600.0	16.58682	284.59487	80.4939	57.7285	383.0992	55.63311
16657200.0	6.57083	294.46803	5.5889	12.5657	68.5959	11.83986
16660800.0	-2.66638	304.8913	0.0	0.0	0.0	0.0
16664400.0	-10.74418	316.30955	0.0	0.0	0.0	0.0
16668000.0	-17.20259	329.02074	0.0	0.0	0.0	0.0
16671600.0	-21.53409	343.04711	0.0	0.0	0.0	0.0
